job,marital,education,default,housing,loan,contact,poutcome,SubscribeTermDeposit
services,single,secondary,no,no,yes,cellular,other,no
management,married,primary,no,no,no,telephone,failure,yes
management,divorced,unknown,no,no,no,unknown,unknown,no
technician,single,primary,no,yes,no,telephone,other,no
retired,married,primary,no,no,no,telephone,success,yes
management,single,secondary,yes,no,no,cellular,unknown,no
technician,married,tertiary,no,no,no,telephone,failure,no
technician,married,primary,no,no,no,unknown,unknown,no
entrepreneur,divorced,tertiary,no,no,yes,cellular,unknown,no
technician,married,unknown,no,yes,no,cellular,other,no
blue-collar,single,unknown,yes,yes,no,unknown,unknown,no
services,single,secondary,no,no,no,telephone,failure,no
services,single,secondary,no,no,no,telephone,other,yes
unemployed,single,primary,no,no,no,telephone,unknown,no
blue-collar,single,unknown,no,yes,no,telephone,failure,no
management,single,secondary,no,no,no,cellular,failure,no
self-employed,single,unknown,no,yes,no,unknown,unknown,no
self-employed,married,unknown,no,no,no,cellular,unknown,no
services,married,secondary,no,no,yes,telephone,unknown,no
unemployed,single,secondary,yes,yes,no,unknown,unknown,no
admin.,married,unknown,no,no,no,telephone,failure,yes
admin.,married,tertiary,no,yes,yes,cellular,other,no
technician,divorced,secondary,no,yes,no,telephone,other,no
admin.,married,unknown,yes,yes,no,unknown,unknown,no
technician,divorced,secondary,no,no,yes,cellular,failure,no
blue-collar,divorced,secondary,no,no,yes,telephone,unknown,no
unemployed,divorced,tertiary,no,yes,no,cellular,success,no
unemployed,married,tertiary,no,no,yes,telephone,unknown,no
management,married,secondary,yes,no,no,cellular,unknown,no
management,divorced,secondary,yes,yes,no,unknown,unknown,no
student,single,secondary,no,no,no,telephone,success,no
retired,divorced,unknown,no,yes,no,cellular,unknown,no
self-employed,single,secondary,no,yes,yes,cellular,failure,no
self-employed,married,secondary,no,no,yes,telephone,unknown,no
entrepreneur,single,tertiary,no,no,no,cellular,other,yes
student,single,tertiary,no,yes,no,cellular,other,no
technician,single,tertiary,no,no,no,telephone,other,no
retired,married,secondary,no,yes,yes,cellular,failure,no
blue-collar,single,primary,no,no,no,cellular,other,no
retired,married,tertiary,no,yes,no,cellular,failure,no
services,divorced,tertiary,no,yes,no,cellular,unknown,no
self-employed,married,primary,no,yes,no,telephone,failure,no
entrepreneur,married,tertiary,no,no,no,telephone,failure,no
technician,married,secondary,no,no,no,unknown,other,no
entrepreneur,married,tertiary,yes,yes,no,cellular,unknown,yes
admin.,married,unknown,no,no,no,cellular,success,yes
unemployed,married,primary,yes,no,no,cellular,unknown,no
blue-collar,married,unknown,yes,yes,no,unknown,unknown,no
entrepreneur,married,tertiary,no,yes,yes,cellular,other,no
retired,married,unknown,no,yes,no,cellular,unknown,no
self-employed,married,secondary,yes,no,no,unknown,unknown,no
technician,single,secondary,no,no,yes,cellular,failure,no
blue-collar,married,unknown,no,yes,no,telephone,other,no
services,single,secondary,yes,no,yes,cellular,unknown,no
admin.,divorced,secondary,yes,yes,yes,unknown,unknown,no
retired,married,secondary,no,yes,no,telephone,unknown,yes
student,single,secondary,no,no,no,unknown,other,no
blue-collar,single,secondary,yes,yes,yes,cellular,failure,no
technician,divorced,unknown,no,no,no,cellular,unknown,yes
admin.,single,secondary,no,yes,yes,telephone,other,yes
management,divorced,tertiary,no,yes,no,telephone,failure,no
retired,divorced,secondary,no,no,yes,cellular,success,no
unknown,single,tertiary,no,no,no,unknown,unknown,no
services,single,primary,no,yes,no,cellular,other,no
services,divorced,unknown,no,yes,no,unknown,unknown,no
retired,divorced,tertiary,no,yes,yes,cellular,unknown,no
self-employed,married,unknown,no,yes,no,cellular,success,no
entrepreneur,married,primary,no,yes,no,cellular,other,no
entrepreneur,married,unknown,no,yes,no,cellular,other,no
unknown,single,unknown,no,no,no,cellular,unknown,no
technician,married,unknown,no,yes,yes,cellular,failure,no
blue-collar,divorced,primary,no,no,no,cellular,failure,yes
services,married,primary,no,no,yes,cellular,other,no
management,divorced,unknown,no,yes,yes,cellular,unknown,no
retired,divorced,unknown,no,no,no,telephone,unknown,no
management,married,primary,yes,yes,no,telephone,unknown,no
retired,married,unknown,no,no,no,telephone,other,no
admin.,single,secondary,no,yes,no,telephone,other,no
entrepreneur,single,tertiary,no,yes,no,cellular,other,no
services,single,secondary,yes,yes,no,unknown,unknown,yes
admin.,married,primary,no,no,no,unknown,unknown,no
services,divorced,secondary,no,yes,yes,cellular,other,no
management,single,secondary,no,yes,no,unknown,other,no
management,married,secondary,yes,yes,no,cellular,unknown,no
self-employed,married,tertiary,yes,yes,yes,unknown,unknown,no
management,single,unknown,no,yes,no,cellular,unknown,no
admin.,married,tertiary,no,no,no,cellular,other,yes
student,divorced,secondary,no,no,no,cellular,unknown,no
services,married,primary,no,no,yes,telephone,unknown,yes
retired,divorced,secondary,no,no,yes,telephone,unknown,no
self-employed,married,tertiary,no,yes,yes,cellular,success,no
unemployed,single,unknown,no,yes,no,cellular,failure,no
housemaid,divorced,primary,no,no,yes,unknown,unknown,no
technician,married,secondary,yes,yes,yes,unknown,unknown,no
entrepreneur,single,tertiary,yes,yes,no,cellular,unknown,no
management,married,primary,yes,yes,yes,cellular,unknown,no
blue-collar,married,secondary,no,no,yes,cellular,other,no
unemployed,married,primary,yes,yes,no,unknown,unknown,no
housemaid,divorced,primary,no,yes,no,telephone,unknown,no
management,married,unknown,no,yes,no,telephone,unknown,no
technician,single,secondary,no,yes,no,telephone,other,no
technician,married,secondary,no,no,yes,telephone,other,no
technician,divorced,tertiary,yes,no,yes,cellular,unknown,no
admin.,married,secondary,yes,yes,yes,cellular,unknown,no
housemaid,single,secondary,no,yes,no,cellular,success,yes
management,married,tertiary,no,no,yes,telephone,failure,no
services,divorced,unknown,no,no,no,cellular,unknown,no
management,married,tertiary,no,yes,no,telephone,failure,no
blue-collar,single,primary,yes,no,no,cellular,unknown,no
services,married,unknown,no,no,no,cellular,success,yes
services,divorced,secondary,yes,yes,no,unknown,unknown,no
technician,single,tertiary,no,no,yes,telephone,unknown,no
services,divorced,secondary,no,no,no,cellular,other,no
admin.,married,secondary,yes,yes,yes,cellular,other,yes
technician,married,secondary,no,yes,yes,telephone,failure,no
blue-collar,divorced,secondary,no,yes,yes,cellular,other,no
blue-collar,married,tertiary,yes,yes,no,cellular,unknown,no
self-employed,divorced,tertiary,no,yes,no,cellular,failure,no
technician,married,primary,no,no,no,cellular,success,yes
blue-collar,married,primary,no,no,yes,cellular,failure,no
management,divorced,tertiary,no,yes,yes,telephone,unknown,yes
entrepreneur,divorced,secondary,no,no,yes,cellular,other,no
blue-collar,divorced,secondary,yes,yes,no,cellular,unknown,no
housemaid,single,secondary,yes,no,yes,cellular,unknown,no
management,single,primary,no,yes,no,cellular,unknown,no
admin.,divorced,secondary,yes,no,no,unknown,unknown,no
retired,married,secondary,no,yes,no,cellular,other,no
technician,single,unknown,no,yes,no,cellular,other,no
blue-collar,married,unknown,no,yes,no,telephone,failure,no
services,single,primary,no,no,yes,cellular,other,no
management,married,unknown,no,yes,no,cellular,success,yes
entrepreneur,married,primary,no,no,no,telephone,other,no
services,married,primary,no,yes,no,telephone,failure,yes
blue-collar,married,secondary,yes,no,yes,unknown,unknown,no
technician,divorced,secondary,yes,yes,yes,unknown,unknown,no
services,married,primary,no,no,no,cellular,failure,no
housemaid,single,tertiary,no,no,no,cellular,failure,no
unemployed,single,secondary,no,no,no,cellular,failure,yes
blue-collar,single,unknown,no,yes,no,cellular,failure,no
services,single,secondary,yes,yes,no,cellular,failure,no
retired,married,unknown,no,no,yes,unknown,unknown,no
housemaid,married,tertiary,no,yes,no,telephone,unknown,no
blue-collar,married,tertiary,no,yes,no,cellular,failure,no
blue-collar,divorced,secondary,yes,no,no,unknown,unknown,no
management,single,secondary,no,yes,no,cellular,success,yes
entrepreneur,divorced,primary,no,yes,no,telephone,unknown,no
services,single,primary,no,yes,no,telephone,unknown,no
admin.,married,primary,no,yes,no,cellular,other,no
blue-collar,divorced,primary,yes,yes,no,cellular,unknown,no
admin.,married,unknown,no,no,no,cellular,failure,no
housemaid,single,secondary,no,no,no,unknown,unknown,no
unemployed,married,primary,no,yes,no,telephone,failure,no
unemployed,single,secondary,no,no,yes,cellular,failure,yes
retired,divorced,primary,no,yes,no,cellular,failure,no
technician,married,secondary,no,yes,no,telephone,failure,no
retired,single,tertiary,no,no,no,unknown,unknown,no
retired,single,tertiary,no,no,no,telephone,failure,no
retired,married,unknown,no,yes,no,unknown,unknown,no
management,single,tertiary,no,no,no,telephone,success,no
unemployed,divorced,secondary,no,yes,no,telephone,failure,no
self-employed,married,tertiary,no,no,no,telephone,failure,no
self-employed,single,primary,no,no,no,cellular,unknown,no
technician,single,tertiary,yes,no,yes,unknown,unknown,no
services,married,unknown,no,yes,no,cellular,other,no
admin.,single,tertiary,no,no,no,cellular,success,no
management,divorced,secondary,no,no,yes,telephone,unknown,no
blue-collar,single,tertiary,no,yes,no,telephone,unknown,no
management,divorced,tertiary,yes,no,no,cellular,unknown,no
blue-collar,married,primary,yes,yes,no,cellular,unknown,no
admin.,divorced,secondary,no,yes,yes,cellular,other,yes
management,divorced,tertiary,no,no,no,cellular,other,no
blue-collar,married,primary,yes,yes,yes,unknown,unknown,no
services,divorced,primary,no,no,yes,unknown,unknown,no
retired,single,secondary,no,no,no,cellular,other,no
technician,married,secondary,yes,yes,yes,cellular,unknown,no
services,divorced,primary,no,no,yes,cellular,unknown,no
management,divorced,secondary,no,yes,no,telephone,failure,no
unemployed,married,primary,no,yes,no,telephone,other,no
unknown,divorced,primary,no,no,no,cellular,failure,no
unemployed,married,tertiary,no,no,no,telephone,failure,no
management,divorced,secondary,no,no,yes,cellular,unknown,no
entrepreneur,married,secondary,yes,yes,yes,unknown,unknown,no
technician,single,primary,no,yes,no,unknown,unknown,no
blue-collar,single,secondary,no,yes,no,telephone,other,no
retired,single,tertiary,no,no,no,cellular,success,yes
services,married,secondary,yes,yes,no,cellular,unknown,no
unemployed,divorced,secondary,no,no,yes,unknown,unknown,no
admin.,married,tertiary,no,no,yes,unknown,unknown,no
entrepreneur,single,tertiary,yes,yes,yes,cellular,success,no
self-employed,married,secondary,yes,yes,yes,cellular,failure,no
housemaid,single,tertiary,no,no,no,telephone,failure,no
self-employed,divorced,primary,no,yes,no,cellular,unknown,no
entrepreneur,single,secondary,no,yes,no,cellular,failure,no
services,married,tertiary,no,no,yes,cellular,unknown,no
retired,divorced,secondary,no,yes,no,cellular,failure,no
unemployed,married,unknown,no,yes,no,telephone,unknown,yes
services,divorced,secondary,no,yes,no,telephone,unknown,no
entrepreneur,single,secondary,no,no,no,cellular,failure,yes
management,married,primary,no,yes,yes,telephone,unknown,no
unemployed,single,tertiary,no,no,no,telephone,success,yes
admin.,single,tertiary,no,no,no,telephone,failure,yes
services,married,primary,yes,yes,no,cellular,unknown,no
management,married,unknown,no,no,no,telephone,success,yes
student,single,unknown,no,yes,no,cellular,unknown,no
admin.,divorced,unknown,no,no,no,unknown,unknown,no
technician,single,tertiary,no,yes,yes,cellular,success,no
housemaid,married,secondary,yes,no,yes,cellular,unknown,no
management,divorced,primary,no,yes,no,cellular,unknown,no
management,single,unknown,no,no,no,cellular,success,yes
housemaid,single,primary,no,no,no,telephone,unknown,yes
self-employed,single,primary,no,no,yes,unknown,unknown,no
admin.,single,tertiary,no,no,yes,unknown,unknown,yes
management,divorced,unknown,no,no,no,cellular,other,yes
entrepreneur,divorced,secondary,no,yes,no,cellular,success,no
blue-collar,married,tertiary,no,no,no,cellular,failure,no
self-employed,single,primary,no,yes,no,unknown,unknown,no
entrepreneur,single,primary,no,yes,no,cellular,failure,no
self-employed,married,primary,no,yes,yes,cellular,unknown,yes
management,divorced,unknown,no,no,no,cellular,failure,yes
services,single,primary,no,yes,yes,cellular,unknown,yes
self-employed,single,secondary,no,yes,no,cellular,other,no
entrepreneur,single,tertiary,no,no,no,unknown,unknown,no
services,single,primary,no,yes,yes,cellular,other,no
technician,divorced,primary,no,yes,no,cellular,unknown,no
retired,single,tertiary,no,yes,no,cellular,unknown,no
management,single,primary,no,no,no,cellular,unknown,no
technician,married,tertiary,no,no,yes,cellular,other,yes
services,single,secondary,no,yes,yes,cellular,failure,no
technician,divorced,primary,no,no,yes,telephone,unknown,no
housemaid,single,secondary,no,yes,no,cellular,failure,no
unknown,single,unknown,no,yes,no,unknown,unknown,no
entrepreneur,married,tertiary,no,no,yes,cellular,success,no
management,divorced,tertiary,yes,yes,no,telephone,unknown,no
entrepreneur,single,tertiary,no,yes,no,cellular,success,yes
housemaid,married,tertiary,no,no,no,unknown,unknown,no
unemployed,divorced,primary,no,no,no,cellular,other,no
services,married,secondary,yes,yes,no,cellular,failure,no
retired,married,secondary,yes,no,yes,cellular,unknown,no
services,divorced,secondary,no,no,yes,cellular,failure,no
management,divorced,tertiary,yes,no,yes,telephone,unknown,no
technician,single,secondary,yes,yes,no,cellular,other,no
services,single,secondary,no,no,no,telephone,success,yes
admin.,single,secondary,no,no,no,telephone,failure,no
entrepreneur,married,tertiary,no,yes,no,telephone,failure,no
unemployed,single,secondary,no,yes,yes,unknown,unknown,no
blue-collar,single,unknown,yes,yes,no,telephone,unknown,no
services,single,tertiary,no,no,no,cellular,other,yes
technician,single,secondary,yes,no,yes,cellular,other,no
retired,married,tertiary,no,yes,yes,cellular,unknown,no
student,single,secondary,no,yes,no,telephone,other,no
management,single,secondary,no,no,yes,cellular,failure,no
technician,single,unknown,no,no,no,cellular,success,yes
unemployed,married,primary,no,yes,yes,unknown,unknown,no
retired,married,tertiary,no,no,no,cellular,other,no
student,married,unknown,no,no,no,telephone,unknown,no
entrepreneur,single,tertiary,yes,no,no,unknown,unknown,no
technician,single,tertiary,no,no,yes,cellular,failure,no
housemaid,married,secondary,no,no,no,telephone,success,no
blue-collar,married,tertiary,no,yes,no,cellular,other,no
services,divorced,tertiary,no,no,yes,cellular,failure,no
unemployed,married,tertiary,no,no,no,cellular,failure,yes
admin.,married,secondary,no,no,no,telephone,other,no
housemaid,married,secondary,yes,no,no,cellular,unknown,no
services,married,unknown,no,no,no,telephone,unknown,no
technician,married,primary,yes,no,no,unknown,unknown,no
retired,divorced,secondary,no,no,yes,cellular,failure,no
retired,divorced,primary,no,no,no,telephone,failure,no
blue-collar,married,unknown,yes,no,no,cellular,unknown,yes
technician,married,tertiary,yes,yes,yes,cellular,unknown,no
unknown,divorced,primary,no,no,no,unknown,unknown,no
self-employed,single,secondary,no,yes,yes,cellular,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,other,no
entrepreneur,married,tertiary,no,yes,yes,cellular,failure,no
student,single,secondary,no,no,yes,telephone,unknown,no
management,divorced,unknown,no,no,no,cellular,success,no
blue-collar,single,primary,no,no,no,cellular,failure,no
self-employed,single,secondary,no,no,no,telephone,unknown,no
management,single,secondary,no,no,yes,telephone,unknown,yes
management,divorced,primary,no,no,no,cellular,unknown,no
blue-collar,married,unknown,yes,yes,yes,cellular,unknown,no
self-employed,married,secondary,yes,no,yes,cellular,unknown,no
entrepreneur,married,tertiary,no,no,no,telephone,success,yes
self-employed,divorced,tertiary,no,yes,yes,cellular,unknown,no
technician,married,primary,no,no,yes,cellular,failure,no
unknown,married,unknown,no,no,no,cellular,success,no
management,married,tertiary,yes,yes,no,telephone,unknown,no
technician,divorced,secondary,yes,yes,yes,cellular,unknown,no
blue-collar,married,secondary,no,no,yes,telephone,failure,no
management,single,tertiary,no,no,yes,telephone,unknown,no
unemployed,divorced,secondary,no,no,yes,cellular,unknown,no
management,married,secondary,yes,yes,no,unknown,unknown,no
technician,married,tertiary,no,no,yes,telephone,unknown,no
management,married,tertiary,no,yes,no,telephone,other,no
entrepreneur,married,primary,no,no,no,cellular,success,no
student,divorced,tertiary,no,no,no,cellular,unknown,yes
admin.,married,primary,no,no,no,cellular,other,no
management,married,tertiary,no,no,yes,cellular,success,yes
housemaid,single,tertiary,no,yes,yes,cellular,unknown,no
admin.,single,unknown,no,yes,no,cellular,failure,no
housemaid,divorced,secondary,no,no,no,cellular,other,no
management,single,tertiary,yes,no,yes,cellular,unknown,no
services,divorced,unknown,no,no,no,cellular,success,yes
self-employed,married,primary,no,yes,no,cellular,other,no
technician,single,secondary,no,no,no,telephone,other,no
services,single,primary,no,yes,no,cellular,failure,no
housemaid,married,primary,no,yes,yes,telephone,failure,no
technician,divorced,tertiary,no,no,no,unknown,unknown,no
unknown,married,secondary,no,no,no,telephone,failure,no
technician,single,unknown,no,no,yes,cellular,unknown,no
admin.,single,primary,no,no,no,cellular,unknown,no
technician,married,tertiary,no,yes,yes,cellular,success,no
self-employed,single,tertiary,yes,no,yes,cellular,unknown,no
technician,divorced,secondary,no,no,yes,unknown,other,no
unemployed,single,tertiary,no,no,no,unknown,unknown,no
technician,single,secondary,no,no,no,telephone,success,yes
unemployed,divorced,tertiary,no,no,no,unknown,unknown,no
entrepreneur,divorced,primary,no,no,no,cellular,failure,no
blue-collar,single,primary,no,no,yes,telephone,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,success,no
unemployed,married,primary,no,yes,yes,cellular,failure,no
housemaid,single,secondary,no,yes,no,cellular,other,no
entrepreneur,married,secondary,yes,no,no,cellular,unknown,no
self-employed,married,tertiary,no,no,yes,unknown,unknown,no
self-employed,married,unknown,no,no,no,telephone,success,yes
unemployed,single,secondary,yes,no,no,cellular,unknown,no
housemaid,married,primary,no,yes,yes,cellular,failure,no
blue-collar,single,unknown,no,yes,yes,unknown,unknown,no
entrepreneur,single,primary,no,yes,yes,unknown,unknown,yes
services,single,tertiary,no,yes,no,cellular,other,no
housemaid,married,tertiary,no,yes,no,telephone,other,no
technician,divorced,unknown,no,no,no,cellular,failure,no
blue-collar,single,tertiary,no,yes,yes,cellular,failure,no
admin.,divorced,unknown,no,yes,no,cellular,unknown,no
management,married,secondary,no,no,no,telephone,success,no
self-employed,married,primary,yes,no,no,cellular,unknown,no
retired,married,primary,yes,no,no,cellular,unknown,no
entrepreneur,single,tertiary,yes,no,yes,telephone,unknown,no
unemployed,divorced,secondary,no,yes,no,cellular,failure,no
self-employed,divorced,secondary,no,no,no,cellular,unknown,yes
blue-collar,single,secondary,no,yes,yes,telephone,unknown,no
housemaid,single,unknown,no,no,no,unknown,unknown,no
housemaid,divorced,primary,no,yes,yes,cellular,unknown,no
services,married,secondary,no,no,yes,cellular,success,yes
admin.,married,secondary,no,yes,yes,telephone,other,no
management,single,tertiary,yes,yes,yes,cellular,unknown,no
retired,single,tertiary,no,yes,no,unknown,unknown,no
unemployed,single,secondary,no,no,no,telephone,other,yes
self-employed,married,tertiary,no,no,no,telephone,other,yes
technician,divorced,unknown,no,yes,no,cellular,unknown,no
unknown,married,primary,no,yes,yes,cellular,success,yes
self-employed,married,primary,no,no,no,telephone,unknown,no
technician,divorced,secondary,yes,no,no,cellular,unknown,no
retired,divorced,unknown,no,yes,no,unknown,unknown,no
blue-collar,married,secondary,no,no,yes,unknown,failure,no
entrepreneur,divorced,primary,no,yes,no,unknown,unknown,no
self-employed,married,tertiary,yes,yes,no,cellular,failure,no
blue-collar,divorced,unknown,no,no,yes,unknown,unknown,no
entrepreneur,married,tertiary,yes,yes,yes,unknown,unknown,no
unemployed,single,tertiary,yes,yes,yes,cellular,unknown,no
blue-collar,single,secondary,yes,yes,no,cellular,failure,no
technician,married,secondary,no,yes,no,unknown,success,yes
management,divorced,tertiary,yes,no,yes,cellular,failure,no
admin.,married,secondary,yes,yes,yes,unknown,unknown,no
admin.,married,secondary,no,yes,no,unknown,failure,no
admin.,married,secondary,no,yes,no,unknown,success,no
management,divorced,secondary,yes,no,no,cellular,unknown,no
entrepreneur,single,tertiary,no,yes,yes,cellular,other,no
technician,single,tertiary,no,yes,no,telephone,failure,no
admin.,married,unknown,no,yes,yes,telephone,failure,no
services,divorced,secondary,no,yes,yes,unknown,success,yes
management,married,unknown,no,yes,yes,telephone,failure,no
self-employed,divorced,tertiary,no,no,no,cellular,failure,no
self-employed,single,primary,no,yes,no,cellular,unknown,no
unknown,single,tertiary,no,no,no,telephone,unknown,no
blue-collar,single,unknown,no,no,no,cellular,other,yes
services,divorced,secondary,no,no,no,telephone,unknown,no
admin.,married,unknown,no,yes,no,cellular,success,yes
entrepreneur,single,tertiary,yes,yes,no,unknown,unknown,no
unknown,single,unknown,no,no,no,telephone,unknown,no
self-employed,married,tertiary,yes,yes,no,cellular,unknown,no
blue-collar,married,primary,no,yes,no,unknown,other,no
management,married,tertiary,no,yes,yes,unknown,failure,no
retired,married,unknown,no,no,no,telephone,failure,no
management,divorced,secondary,no,no,yes,unknown,unknown,no
management,single,tertiary,no,yes,yes,telephone,unknown,no
blue-collar,married,tertiary,no,yes,yes,cellular,unknown,no
blue-collar,single,secondary,yes,no,yes,cellular,success,no
unemployed,divorced,secondary,yes,yes,no,cellular,unknown,no
student,married,tertiary,no,no,no,cellular,other,no
retired,divorced,tertiary,no,no,yes,cellular,failure,yes
blue-collar,married,unknown,no,yes,yes,cellular,failure,no
management,married,secondary,yes,yes,no,cellular,failure,yes
services,single,tertiary,no,yes,yes,cellular,unknown,no
admin.,divorced,secondary,no,yes,yes,telephone,success,yes
services,married,primary,no,yes,yes,unknown,unknown,no
retired,married,primary,no,no,yes,telephone,unknown,no
technician,married,secondary,yes,no,yes,telephone,unknown,no
services,single,secondary,no,yes,yes,telephone,unknown,no
admin.,divorced,secondary,no,no,yes,cellular,other,no
blue-collar,married,unknown,no,yes,yes,cellular,unknown,no
housemaid,divorced,primary,no,yes,no,cellular,failure,no
services,divorced,tertiary,no,no,no,cellular,unknown,yes
management,married,primary,yes,no,yes,unknown,unknown,no
self-employed,married,tertiary,no,no,no,cellular,other,yes
services,married,secondary,no,yes,no,unknown,success,no
retired,married,primary,no,yes,yes,cellular,failure,no
technician,single,unknown,no,no,no,cellular,failure,no
student,single,secondary,no,no,no,telephone,failure,no
admin.,single,secondary,yes,yes,no,cellular,failure,no
unemployed,divorced,tertiary,yes,yes,no,cellular,unknown,no
admin.,divorced,primary,no,yes,no,cellular,other,no
admin.,divorced,primary,no,no,yes,cellular,unknown,no
blue-collar,single,secondary,no,yes,no,unknown,failure,no
self-employed,divorced,secondary,yes,no,no,unknown,unknown,no
unemployed,married,secondary,no,no,yes,cellular,failure,no
self-employed,divorced,secondary,yes,no,yes,unknown,unknown,no
unemployed,married,secondary,yes,yes,yes,cellular,unknown,no
technician,single,primary,no,yes,no,cellular,failure,no
student,single,unknown,no,no,yes,cellular,unknown,no
services,divorced,tertiary,no,yes,yes,cellular,unknown,no
self-employed,divorced,tertiary,no,no,yes,cellular,unknown,no
admin.,divorced,primary,no,yes,no,telephone,unknown,yes
blue-collar,married,secondary,no,no,yes,cellular,success,yes
technician,single,tertiary,no,yes,yes,telephone,other,no
self-employed,single,primary,no,no,no,telephone,unknown,no
retired,married,primary,no,yes,no,cellular,other,no
management,divorced,secondary,no,yes,no,telephone,unknown,no
technician,divorced,tertiary,no,no,no,telephone,unknown,yes
admin.,married,tertiary,no,yes,no,telephone,success,no
retired,divorced,secondary,yes,no,yes,cellular,unknown,no
management,divorced,secondary,no,yes,no,cellular,other,no
entrepreneur,divorced,secondary,no,yes,yes,cellular,failure,no
entrepreneur,single,unknown,no,no,no,cellular,success,no
self-employed,single,tertiary,no,yes,yes,cellular,failure,yes
admin.,divorced,secondary,yes,yes,yes,cellular,failure,no
blue-collar,single,primary,yes,yes,no,cellular,unknown,no
management,single,secondary,yes,yes,yes,cellular,unknown,no
technician,married,unknown,no,no,no,telephone,unknown,no
services,married,secondary,yes,yes,no,telephone,unknown,no
blue-collar,married,unknown,no,no,yes,unknown,other,no
services,single,tertiary,no,no,no,cellular,success,no
technician,married,secondary,no,no,no,telephone,success,yes
self-employed,single,primary,no,no,yes,cellular,unknown,no
admin.,divorced,primary,no,yes,no,cellular,unknown,no
entrepreneur,single,secondary,no,no,yes,unknown,unknown,no
unknown,married,primary,no,yes,yes,unknown,unknown,yes
blue-collar,married,primary,yes,yes,yes,cellular,unknown,no
self-employed,single,tertiary,yes,yes,no,cellular,unknown,no
blue-collar,divorced,primary,no,no,no,cellular,other,no
self-employed,divorced,tertiary,no,yes,no,cellular,other,yes
unemployed,divorced,secondary,no,no,yes,cellular,other,no
self-employed,single,tertiary,no,no,no,telephone,success,no
retired,divorced,secondary,no,no,no,telephone,other,yes
housemaid,divorced,primary,no,no,yes,telephone,unknown,no
retired,married,unknown,no,no,yes,cellular,unknown,no
retired,married,primary,no,no,yes,cellular,other,no
admin.,divorced,secondary,yes,yes,no,cellular,failure,no
admin.,married,tertiary,no,yes,no,cellular,success,yes
technician,single,primary,no,yes,no,cellular,unknown,no
student,married,secondary,no,yes,no,cellular,unknown,no
entrepreneur,married,tertiary,no,yes,no,cellular,success,no
retired,single,tertiary,no,no,no,telephone,unknown,no
housemaid,divorced,secondary,no,yes,no,telephone,unknown,no
retired,divorced,secondary,no,yes,yes,unknown,unknown,no
retired,married,secondary,yes,no,yes,unknown,unknown,no
management,single,secondary,no,yes,yes,cellular,failure,no
admin.,divorced,secondary,no,no,no,telephone,success,yes
retired,single,tertiary,no,no,no,cellular,failure,no
self-employed,divorced,primary,no,yes,no,unknown,unknown,yes
admin.,married,tertiary,no,no,yes,cellular,other,no
services,single,primary,no,yes,no,telephone,failure,no
self-employed,divorced,tertiary,no,no,no,cellular,success,no
housemaid,divorced,unknown,no,no,no,unknown,unknown,no
unknown,single,tertiary,no,no,no,cellular,failure,no
management,married,tertiary,yes,no,yes,cellular,failure,no
retired,single,tertiary,no,yes,yes,unknown,unknown,no
admin.,married,tertiary,no,no,yes,cellular,success,yes
services,divorced,secondary,yes,no,yes,cellular,unknown,no
unknown,married,tertiary,no,yes,no,unknown,unknown,no
housemaid,divorced,secondary,no,yes,no,cellular,failure,no
services,divorced,primary,no,no,no,telephone,other,no
entrepreneur,married,tertiary,no,no,yes,telephone,unknown,no
entrepreneur,married,secondary,yes,no,yes,unknown,unknown,no
unemployed,married,primary,yes,yes,no,cellular,failure,no
blue-collar,single,secondary,yes,yes,yes,cellular,unknown,no
unknown,married,unknown,no,no,no,cellular,failure,no
management,married,secondary,no,yes,yes,telephone,unknown,yes
management,married,primary,no,no,yes,cellular,failure,no
entrepreneur,married,unknown,yes,yes,yes,cellular,unknown,no
blue-collar,divorced,secondary,no,yes,no,telephone,unknown,yes
services,married,primary,yes,yes,no,unknown,unknown,no
blue-collar,single,unknown,no,no,no,telephone,unknown,no
unknown,divorced,unknown,no,no,no,telephone,unknown,no
technician,single,tertiary,no,no,no,telephone,failure,no
blue-collar,married,primary,yes,no,yes,unknown,unknown,no
housemaid,married,unknown,yes,no,yes,telephone,unknown,no
unemployed,single,tertiary,no,no,no,cellular,other,no
self-employed,divorced,tertiary,no,yes,no,telephone,unknown,no
blue-collar,divorced,primary,yes,yes,no,cellular,failure,no
services,married,secondary,yes,no,yes,cellular,unknown,no
blue-collar,divorced,unknown,no,no,no,cellular,unknown,no
unemployed,single,primary,no,no,no,cellular,failure,yes
entrepreneur,single,tertiary,no,no,no,cellular,failure,no
technician,married,primary,no,yes,no,cellular,other,no
retired,married,primary,no,no,yes,telephone,failure,yes
housemaid,single,tertiary,no,no,no,telephone,unknown,no
entrepreneur,married,primary,no,yes,yes,telephone,failure,no
unemployed,married,secondary,no,yes,yes,telephone,failure,yes
unknown,single,secondary,no,no,yes,cellular,unknown,no
retired,divorced,secondary,yes,no,yes,cellular,failure,no
blue-collar,married,primary,no,no,yes,cellular,other,no
management,divorced,secondary,no,no,no,cellular,failure,no
technician,married,unknown,no,no,no,cellular,other,no
technician,divorced,secondary,yes,yes,no,unknown,unknown,no
unemployed,married,tertiary,no,yes,no,cellular,other,no
admin.,married,secondary,yes,yes,no,cellular,failure,no
